epoch;loss;val_loss
0;418.2775062278465;102.52736835529402
1;104.02467267563186;101.09281817738203
2;102.91205716094726;102.11570814804894
3;89.01174988186109;73.59973818203419
4;77.69816972668045;71.20262293608856
5;74.99813168290733;69.60347500860145
6;73.70099174266085;70.21146107400165
7;72.44406519842225;67.90116390382448
8;70.7992218926717;66.59106550904426
9;69.6440595789616;65.73266402168667
10;68.69467712869199;66.68059306542574
11;67.14432550206085;65.23469284335741
12;66.5546219314354;65.35086987613215
13;65.351041784609;64.29275936963239
14;64.72909831540021;63.19065992669963
15;64.07461411480742;63.810530339174846
16;63.6711030183015;63.140248530450606
17;62.84472422208187;62.22881895238271
18;62.313346395937906;62.677263023439515
19;61.90699086212306;62.558203428690156
20;61.13073379098889;62.38974495802138
21;60.84723019561522;61.64560468240326
22;60.50608702826999;61.85924035669061
23;60.04893891707711;62.241780057682746
24;59.66898257490517;62.15588629131043
25;59.260790752711884;61.12494921265892
26;58.97078548191826;61.3059120173904
27;58.33140904277611;60.97344377617678
28;57.88339528868548;62.739137302529535
29;57.253438940370714;62.335672352843844
30;56.93378122916352;61.61094165164132
31;56.22373822960109;62.25088419655664
32;55.87946968262898;61.934445133163884
